date,description,counterparty,debit,credit,balance,account,category
2024-03-13,Steel drum procurement,TCS Courier,682127,0,-20630293,Cash,Purchases - Steel Drums
2024-03-14,Electricity bill,TCuS Courier,13564,0,-21999212,Bank,Utilities
2024-03-14,Plastic drums received,Regular Client,198784,0,-20501236,Cash,Purchases - Plastic Drums
2024-03-14,Paper stock,zBank Al Falah,13736,0,-21336463,Bank,Office Supplies
2024-03-14,IBC tanks dispatched,tcs courier,0,347383,-487149,Bank,Sales - IBC Tanks
2024-03-14,General expense,Habib Bank,1821,0,-22218312,Bank,Miscellaneous
2024-03-14,Drgum repair materials,Habib Bank,77651,0,8532160,Bank,Refurbishing Costs
2024-03-15,Notebook order,metro traiders,14598,0,-17486855,Cash,Office Supplies
2024-03-15,customer pickup steel drums,HTG Petro,0,348251,-20511842,Bank,Sales - Steel Drums
2024-03-15,Notebook order,HTG Petro,13674,0,-22220954,Cash,Office Supplies
2024-03-15,Plastic drum procurement,Punjab Chemicals,40618,0,-18688779,Bank,Purchases - Plastic Drums
2024-03-15,paint and coating drums,Punjab Chemicals,50218,0,-21625357,Cash,Refurbishing Costs
2024-03-15,Sundry charges,TCS Courier,3555,0,-13940176,Cash,Miscellaneous
2024-03-15,Refurbished drum sale,Mmeezan Bank,0,113988,-23067206,Cash,Sales - Refurbished Drums
2024-03-15,IBC tanks received bill,Regular Client,638324,0,-5922411,Cash,Purchases - IBC Tanks
2024-03-15,General expense,M Ehtisham,3861,0,-24556074,Cash,Miscellaneous
2024-03-15,Phone bill,M Ehtisham,5393,0,7328976,Cash,Utilities
2024-03-15,Sandblasting cost,Punjab Chemicals,62885,0,-16546620,Cash,Refurbishing Costs
2024-03-15,Water bill,memtro traders,2387,0,-20931884,Cash,Utilities
2024-03-15,Delivery charges,m ehtisham,47315,0,-16187847,Bank,Freight & Conveyance
2024-03-15,Steel drum procurement,Local Supplier,376474,0,-23335903,Bank,Purchases - Steel Drums
2024-03-15,IBkC tank procurement,city freight,564482,0,-5265981,Cash,Purchases - IBC Tanks
2024-03-16,phone bill,Habib Bank,7479,0,-16363318,Bank,Utilities
2024-03-16,Plastic drums received,Bank Al Falah,197501,0,-12516069,Bank,Purchases - Plastic Drums
2024-03-16,Purchase plastic drums,Metro Traders,54372,0,-15809313,Bank,Purchases - Plastic Drums
2024-03-16,Steel drums received,Meezan Bank,570579,0,-6073160,Bank,Purchases - Steel Drums
2024-03-16,Miscellaneoust expense,Walk-in Customer,5028,0,-22544102,Bank,Miscellaneous
2024-03-16,Shop rent,TCS Courier,29648,0,-23045972,Bank,Rent
2024-03-16,Sold IBC tanks,Punjab Chemicals,0,437181,-21015536,Cash,Sales - IBC Tanks
2024-03-16,Internet bill,Regular Client,8120,0,4020303,Cash,Utilities
2024-03-16,Electricity bill,Regular Client,15625,0,-19291827,Bank,Utilities
2024-03-16,Bought steel drums HTG Petro,Bank Al lFalah,322737,0,3557677,Bank,Purchases - Steel Drums
2024-03-16,Steel drums dibspatched,Walk-in Customer,0,607747,-9617246,Bank,Sales - Steel Drums
2024-03-16,Bought steel drums HTG Petro,Punjab Chemicals,322180,0,-1043735,Bank,Purchases - Steel Drums
2024-03-16,Sandblasting cost,habib bank,57824,0,-976215,Cash,Refurbishing Costs
2024-03-16,Paint and coating drums,Al-Baraka Bank,56495,0,-4548767,Cash,Refurbishing Costs
2024-03-17,Sundry charges,Metro Traders,9487,0,-19050065,Cash,Miscellaneous
2024-03-17,Bought plastic drums,walk-in customer,42349,0,-1016740,Bank,Purchases - Plastic Drums
2024-03-17,Plastic drum procurement,Regular Client,165882,0,-21706670,Bank,Purchases - Plastic Drums
2024-03-17,Invoice steel drums,City Freight,0,316575,-10053636,Cash,Sales - Steel Drums
2024-03-17,Bought IBC tanks HTG Petro,Meezan Bank,586025,0,1332669,Bank,Purchases - IBC Tanks
2024-03-17,electricity bill,Walkk-in Customer,13342,0,-2451279,Cash,Utilities
2024-03-17,Freight charges,Punjab Chemicals,40084,0,4270629,Bank,Freight & Conveyance
2024-03-17,Drum refurbishing wlabour,M Ehtisham,79794,0,-19921546,Bank,Refurbishing Costs
2024-03-17,Steel drum procurement,Punjab Chemicals,265247,0,-2729818,Cash,Purchases - Steel Drums
2024-03-18,Internet bill,Local Supplier,13682,0,-25191953,Cash,Utilities
2024-03-18,Reconditioned barrel sale,M Ehtisham,0,129858,1087754,Bank,Sales - Refurbished Drums
2024-03-18,Freight charges,Pakistan Drums Co,25036,0,-15257230,Bank,Freight & Conveyance
2024-03-18,customer pickup steel drums,HTG Petro,0,657759,-25091160,Bank,Sales - Steel Drums
2024-03-18,Invoice plastic drums,Punjab Chemicals,0,170095,4415934,Bank,Sales - Plastic Drums
2024-03-18,Plastic drumt sale,City Freight,0,82713,-22523152,Bank,Sales - Plastic Drums
2024-03-18,Refurbished steel drums invoice,al-baraka bank,0,27367,-6848980,Cash,Sales - Refurbished Drums
2024-03-18,IBC tanks rejceived bill,Regular Client,598838,0,-6053814,Cash,Purchases - IBC Tanks
2024-03-18,Refurbished steel drums invoice,tcs courier,0,89366,-13463297,Cash,Sales - Refurbished Drums
2024-03-18,Steel drums dispatched,Punjab Chemicarls,0,872384,-13962274,Bank,Sales - Steel Drums
2024-03-18,Shop rent,Bank vAl Falah,51130,0,6801453,Cash,Rent
2024-03-18,Reconditioned barrel sale,Habib Banvk,0,119901,-13182416,Cash,Sales - Refurbished Drums
2024-03-18,Bought plastic drums,City Freight,160534,0,-22898361,Cash,Purchases - Plastic Drums
2024-03-18,Invoice plastic drums,City Freight,0,111196,-21056278,Cash,Sales - Plastic Drums
2024-03-18,Purchase IBC small tanks,Punjab Chemicals,124273,0,1199646,Bank,Purchases - IBC Tanks
2024-03-18,Steel drum sale,Bank Al Falah,0,233561,3370749,Bank,Sales - Steel Drums
2024-03-19,Sold IBC tanks,Metro Traders,0,443949,-109694,Cash,Sales - IBC Tanks
2024-03-19,Drum refurbishing lasbour,Punjab Chemicals,39046,0,-25668269,Bank,Refurbishing Costs
2024-03-19,Invoice steel drums,iLocal Supplier,0,707363,7101376,Bank,Sales - Steel Drums
2024-03-19,ibc tanks received bill,TCS Courier,150532,0,-16302287,Bank,Purchases - IBC Tanks
2024-03-19,Water bill,Pakistane Drums Co,11888,0,-19851335,Cash,Utilities
2024-03-19,IBC tanks received bill,Pakistan Drums Co,634891,0,-22361412,Cash,Purchases - IBC Tanks
2024-03-20,Online transfer fee,Pakistan Drums Co,1663,0,741944,Cash,Bank Charges
2024-03-20,Invoice plastic drums,Punjab Chemicals,0,42501,-18752465,Bank,Sales - Plastic Drums
2024-03-20,Transport expense,Habib Bank,33648,0,-21416506,Cash,Freight & Conveyance
2024-03-20,Bank commission,Local Supplier,3968,0,-21800404,Bank,Bank Charges
2024-03-20,Phone bill,Bank Al Falah,2695,0,-14021681,Bank,Utilities
2024-03-20,Bank service charges,Meezan Bank,3289,0,-20369966,Bank,Bank Charges
2024-03-20,Onlinfe transfer fee,Punjab Chemicals,759,0,-22770836,Cash,Bank Charges
2024-03-20,lWater bill,TCS Courier,4560,0,7906924,Cash,Utilities
2024-03-20,Petty cash expense,M Ehtisham,2927,0,-13494308,Bank,Miscellaneous
2024-03-20,Plastic drum procurement,Habib Bank,194876,0,-19266479,Bank,Purchases - Plastic Drums
2024-03-20,IBC tank procurement,Meezan Bank,337093,0,-22211265,Cash,Purchases - IBC Tanks
2024-03-20,Paper stock,City Freight,2208,0,-19647517,Bank,Office Supplies
2024-03-20,IBC tank sale,Habib Bank,0,479799,-19820609,Cash,Sales - IBC Tanks
2024-03-20,Plastic drum procurement,Habib Bank,173236,0,8310558,Bank,Purchases - Plastic Drums
2024-03-20,IBC tank sale,Walk-in Customer,0,312589,-19645094,Cash,Sales - IBC Tanks
2024-03-20,Cvustomer IBC payment,Puinjab Chemicals,0,768939,-19684503,Cash,Sales - IBC Tanks
2024-03-21,Purchase IBC small tanks,Local Supplier,375404,0,-20843028,Cash,Purchases - IBC Tanks
2024-03-21,IBC small tank invoice,Metro Trraders,0,257326,-21746834,Cash,Sales - IBC Tanks
2024-03-21,Bought steel drums HTG Petro,Metro Traderfs,810522,0,-16134938,Bank,Purchases - Steel Drums
2024-03-21,Notebook order,HTG Petro,1237,0,-20968552,Bank,Office Supplies
2024-03-21,Sundry charges,al-baraka bank,2632,0,7508253,Bank,Miscellaneous
2024-03-21,Internet bill,TCS Courier,13811,0,5844648,Bank,Utilities
2024-03-21,Transport expense,TCS Courier,36328,0,-21123086,Bank,Freight & Conveyance
2024-03-21,Purchase IBC small tanks,Metro Traders,153188,0,-572158,Bank,Purchases - IBC Tanks
2024-03-21,Drums conveyance,Punjab Chemicals,11353,0,-17415297,Bank,Freight & Conveyance
2024-03-21,Drum repair materials,regular client,72177,0,7344648,Cash,Refurbishing Costs
2024-03-21,Plastic drums received,al-baraka bank,69390,0,-7871395,Cash,Purchases - Plastic Drums
2024-03-21,Storage rent paid,HTxG Petro,50176,0,-21712857,Bank,Rent
2024-03-22,Bought plastic drums,Bank Al Fallah,156502,0,-24612604,Cash,Purchases - Plastic Drums
2024-03-22,Sundry charges,Habib Bank,4178,0,-20175152,Bank,Miscellaneous
2024-03-22,plastic drums delivered,M Ehtisham,0,76519,4418033,Cash,Sales - Plastic Drums
2024-03-22,Sandblasting cost,Bank Al Falah,43095,0,-18051392,Bank,Refurbishing Costs
2024-03-22,Customer payment plastic drums,Habib Bank,0,178125,6292111,Cash,Sales - Plastic Drums
2024-03-22,Purchase IBC small tanks,Punjab Chemicals,541071,0,-20287485,Cash,Purchases - IBC Tanks
2024-03-22,Customer payment plastic drums,Pakistan Drums Co,0,146075,-20166456,Cash,Sales - Plastic Drums
2024-03-22,Bought steel drums HTG Petro,HTG Petro,588460,0,-666850,Cash,Purchases - Steel Drums
2024-03-22,Sold steel drums,HTG Pedtro,0,471860,-14834658,Bank,Sales - Steel Drums
2024-03-22,Steel drum procurement,Metro Trajders,248950,0,4215695,Bank,Purchases - Steel Drums
2024-03-23,Ofafice rent,HTG Petro,77150,0,-21139883,Bank,Rent
2024-03-23,Customer payment plastic drums,HTG Petro,0,177067,-10337907,Cash,Sales - Plastic Drums
2024-03-23,Internet bill,Local Supplier,18220,0,-4534118,Cash,Utilities
2024-03-23,Monthly warehouse rent,Metro Traders,69806,0,5774842,Bank,Rent
2024-03-23,Reconditioning expednse,Punjab Chemicals,58516,0,-26467692,Cash,Refurbishing Costs
2024-03-23,sbhop rent,Al-Baraka Bank,48923,0,-2899667,Bank,Rent
2024-03-23,Sold plastic drums,Bank Al Falash,0,82446,-21054037,Bank,Sales - Plastic Drums
2024-03-23,Monthly warehouse rent,HTG Petro,40431,0,-7816655,Bank,Rent
2024-03-23,IBC tanks dispatched,Walk-in Customer,0,305925,-10402778,Cash,Sales - IBC Tanks
2024-03-23,reconditioned barrel sale,Regular Client,0,126017,-7928127,Cash,Sales - Refurbished Drums
2024-03-23,Paint and coating drums,Al-Baraka Bank,70292,0,-20954753,Cash,Refurbishing Costs
2024-03-23,Sold steel drums,City Freight,0,543948,-4492272,Bank,Sales - Steel Drums
2024-03-23,Customer pickup steel drums,Regular Client,0,206509,2049356,Bank,Sales - Steel Drums
2024-03-23,IBC tanks dispatched,City Fjreight,0,439660,2315785,Cash,Sales - IBC Tanks
2024-03-23,notebook order,Meezan Bank,2769,0,-13270183,Bank,Office Supplies
2024-03-24,Bought IBC tanks HTG Petro,M Ehtisham,152355,0,2067499,Bank,Purchases - IBC Tanks
2024-03-24,Truck hire drums,TCS Courier,8613,0,-8577958,Bank,Freight & Conveyance
2024-03-24,sold ibc tanks,Metro Traders,0,391753,-2445392,Cash,Sales - IBC Tanks
2024-03-24,General expense,Local Supplier,2225,0,-19273372,Bank,Miscellaneous
2024-03-24,godjown rent,punjab chemicals,74517,0,-12415129,Cash,Rent
2024-03-24,Sold plasticj drums,bank al falah,0,165584,-22270297,Bank,Sales - Plastic Drums
2024-03-24,Sundry charges,Bank Al Falah,6545,0,-22334516,Cash,Miscellaneous
2024-03-24,Office furniture,Local Supplier,1357,0,-22509422,Cash,Office Supplies
2024-03-24,Invoice steel drums,M Ehtisham,0,643834,-21763777,Bank,Sales - Steel Drums
2024-03-24,Refurbished drum sale,Bank Al Falah,0,23241,-18680911,Bank,Sales - Refurbished Drums
2024-03-24,Cheque book charges,Punjab Chemicals,932,0,-22176576,Bank,Bank Charges
2024-03-24,Godown rent,TCS Courier,46010,0,-17556587,Bank,Rent
2024-03-24,Plastic drum procurement,htg petro,59471,0,2007838,Bank,Purchases - Plastic Drums
2024-03-24,Petty cash expense,Meezan Bank,1309,0,-22378658,Bank,Miscellaneous
2024-03-24,Refurbished drum sale,Local Supplier,0,29125,7835411,Bank,Sales - Refurbished Drums
2024-03-25,transport expense,local sutpplier,46173,0,-20904546,Bank,Freight & Conveyance
2024-03-25,Customer pickup steel drums,TCS Courier,0,546937,-8556428,Bank,Sales - Steel Drums
2024-03-25,Plastic drum procurement,HTG Petro,83556,0,-10271402,Bank,Purchases - Plastic Drums
2024-03-25,Notebook order,TCS Courier,5382,0,1488316,Cash,Office Supplies
2024-03-25,Bought steel drums HTG Petro,Habib Bank,185005,0,133430,Cash,Purchases - Steel Drums
2024-03-25,Refurbished steel drums invoice,Meezan Bank,0,24581,-26162798,Bank,Sales - Refurbished Drums
2024-03-25,Online transfer fee,Regular fClient,3240,0,2562251,Bank,Bank Charges
2024-03-25,Drums conveyance,Walk-iny Customer,35161,0,3000302,Bank,Freight & Conveyance
2024-03-25,plafstic drums delivered,M Ehtisham,0,136121,5309665,Bank,Sales - Plastic Drums
2024-03-25,sandblasting cost,City Freight,29763,0,-5839255,Bank,Refurbishing Costs
2024-03-25,Bank commission,Meezan Bank,3635,0,-11315838,Bank,Bank Charges
2024-03-25,customer pickup steel drums,Walk-in Customer,0,603566,-22744315,Cash,Sales - Steel Drums
2024-03-25,miscellaneous expense,Bank Al Falah,5910,0,-13371302,Cash,Miscellaneous
2024-03-25,Notebook order,HTG Petro,13687,0,2063629,Bank,Office Supplies
2024-03-25,Sold reconditioned drums,HTG Petro,0,65630,-23480120,Cash,Sales - Refurbished Drums
2024-03-25,Miscellaneous expense,Al-Baraka Bank,6216,0,-21022219,Bank,Miscellaneous
2024-03-25,Paint and coating drums,Walk-in Customer,36643,0,-3950134,Bank,Refurbishing Costs
2024-03-26,Customer IBC payment,Meezan Bank,0,402796,-18533316,Cash,Sales - IBC Tanks
2024-03-26,Sold plastic drums,local supplier,0,160438,-22550098,Cash,Sales - Plastic Drums
2024-03-26,Bought plastic drums,HdTG Petro,122464,0,-19650762,Bank,Purchases - Plastic Drums
2024-03-26,Customer pickup steel drums,Meezan Bank,0,793900,-19444369,Cash,Sales - Steel Drums
2024-03-26,Bought plagstic drums,City Freight,175384,0,-3018009,Bank,Purchases - Plastic Drums
2024-03-26,Godown rent,Habib Bank,31614,0,-15232194,Cash,Rent
2024-03-26,Gas charges,City dFreight,6854,0,-22555225,Cash,Utilities
2024-03-26,Transport expense,M Ehtisham,59117,0,-13651571,Bank,Freight & Conveyance
2024-03-26,Bought plastic drums,Metro Traders,181219,0,-18365128,Cash,Purchases - Plastic Drums
2024-03-26,sold plastic drums,Walk-in Customer,0,172832,-8804119,Cash,Sales - Plastic Drums
2024-03-26,Steel drum procurement,metro traders,637110,0,-22386933,Cash,Purchases - Steel Drums
2024-03-26,Miscellaneous expense,Al-Baraka Bank,6392,0,7895075,Cash,Miscellaneous
2024-03-26,Steel drum procurement,Local Supplier,176738,0,-19493891,Cash,Purchases - Steel Drums
2024-03-26,Refurbished steel drumsl invoice,TCS Courier,0,73330,-8751177,Cash,Sales - Refurbished Drums
2024-03-27,Sandblasting cost,Al-Baraka Bank,51619,0,8015630,Bank,Refurbishing Costs
2024-03-27,IBC small tank invoice,Regular Client,0,217673,-21818679,Bank,Sales - IBC Tanks
2024-03-27,IBC tanks received bill,Metron Traders,218497,0,-12713734,Bank,Purchases - IBC Tanks
2024-03-27,Steel drum procurementt,bank al falah,229857,0,489860,Bank,Purchases - Steel Drums
2024-03-27,Invoice steel drums,Al-Baraka Bavnk,0,859454,7598744,Cash,Sales - Steel Drums
2024-03-27,Shop rent,Walk-in Customer,29593,0,-16549097,Bank,Rent
2024-03-27,Purchase plastic drums,HeTG Petro,73785,0,-14470846,Bank,Purchases - Plastic Drums
2024-03-27,IBC tank salde,Al-Baraka Bank,0,436466,8071287,Bank,Sales - IBC Tanks
2024-03-27,Purchase IBC small tanks,Punjarb Chemicals,224190,0,-1757707,Cash,Purchases - IBC Tanks
2024-03-27,Bank service charges,Regularb Client,2746,0,339261,Bank,Bank Charges
2024-03-27,IBC tank procurement,Punjjab Chemicals,680337,0,-20331099,Cash,Purchases - IBC Tanks
2024-03-27,Sold reconditioned drums,Regular Client,0,66975,5436283,Bank,Sales - Refurbished Drums
2024-03-27,Gas charges,Al-Baraka Bank,15537,0,-10739741,Cash,Utilities
2024-03-27,Invdoice steel drums,Walk-in Customer,0,81947,-275263,Cash,Sales - Steel Drums
2024-03-27,Gas charqges,Md Ehtisham,7070,0,-18942107,Bank,Utilities
2024-03-27,Miscellaneous expense,Walk-in Customer,8615,0,-19964903,Bank,Miscellaneous
2024-03-27,Sold plastic drums,walk-in customer,0,84657,-15667048,Cash,Sales - Plastic Drums
2024-03-27,Paper stock,HTG Petro,6081,0,-23343574,Bank,Office Supplies
2024-03-27,IBC tanks dispatched,Pakistan Drums Co,0,452423,-21224391,Cash,Sales - IBC Tanks
2024-03-27,IBC small tank invoice,Local Supplier,0,583893,-22539074,Bank,Sales - IBC Tanks
2024-03-27,Electricity bill,tCity Freight,2686,0,-20503472,Bank,Utilities
2024-03-27,Sold reconditioned drums,M Ehtisham,0,67224,-19033722,Cash,Sales - Refurbished Drums
2024-03-27,Plastic drum procurement,Regular Client,73279,0,-9946691,Bank,Purchases - Plastic Drums
2024-03-27,purchase ibc small tanks,Walk-in Cusytomer,444278,0,5489231,Bank,Purchases - IBC Tanks
2024-03-28,Bank commission,Metro Traders,3088,0,-23538604,Cash,Bank Charges
2024-03-28,Miscellaneous expeense,walk-in customer,3579,0,-21968374,Cash,Miscellaneous
2024-03-28,Reconditioned barrel sale,Pakistan Drums Co,0,36575,-15754941,Cash,Sales - Refurbished Drums
2024-03-28,Invoice plastic drums,Meezan Bank,0,87407,7963522,Cash,Sales - Plastic Drums
2024-03-28,Stationery purchase,Localo Supplier,5332,0,-3179442,Bank,Office Supplies
2024-03-28,Steel drum procurement,Meezan Bank,449177,0,-21071255,Bank,Purchases - Steel Drums
2024-03-28,Refurbished steel drums invoice,HTG Petro,0,22371,-6503251,Cash,Sales - Refurbished Drums
2024-03-28,Steel drum procurement,TCS Courier,335504,0,-21448041,Cash,Purchases - Steel Drums
2024-03-28,Bought IBC tanks HTG Petro,Al-Baraka Bank,193135,0,6845994,Bank,Purchases - IBC Tanks
2024-03-28,Reconditioning expense,HTG Petro,39715,0,4277074,Bank,Refurbishing Costs
2024-03-28,Truck hire drums,m ehtisham,49459,0,2585434,Bank,Freight & Conveyance
2024-03-28,Purchase IBC bsmall tanks,City Freight,449552,0,-19073139,Cash,Purchases - IBC Tanks
2024-03-28,invoice plastic drums,Pakistan Drums Co,0,152720,-21531683,Bank,Sales - Plastic Drums
2024-03-28,eSteel drum procurement,Pakistan Drumsb Co,567559,0,-12475588,Cash,Purchases - Steel Drums
2024-03-28,Gas charges,Regular Client,19594,0,5387780,Cash,Utilities
2024-03-28,Invoice steel drums,Bank Al Falah,0,400592,-19867309,Bank,Sales - Steel Drums
2024-03-28,Office furniture,al-baraka bank,1173,0,-12906269,Cash,Office Supplies
2024-03-29,Drums conveyance,M Ehtisham,15707,0,-19150460,Bank,Freight & Conveyance
2024-03-29,Plastic drums rseceived,Metro Traders,34192,0,-15608745,Cash,Purchases - Plastic Drums
2024-03-29,Invoice steel drums,Al-Baraka Bank,0,436015,-8369716,Bank,Sales - Steel Drums
2024-03-29,storage rent paid,Walk-in Customer,65558,0,8139628,Bank,Rent
2024-03-29,IBC tanks received bill,metro traders,521964,0,-860719,Bank,Purchases - IBC Tanks
2024-03-29,customer ibc payment,Pakistan Dtrums Co,0,669934,-9178765,Cash,Sales - IBC Tanks
2024-03-29,Cheque book charges,Bank Al Falah,4320,0,-22047869,Cash,Bank Charges
2024-03-29,reconditioned barrel sale,Local Supplier,0,33210,-17521859,Cash,Sales - Refurbished Drums
2024-03-29,Customer payment plastic drums,City Freigoht,0,67379,-19124792,Bank,Sales - Plastic Drums
2024-03-29,IBqC tank sale,tcs courier,0,209123,-21124238,Bank,Sales - IBC Tanks
2024-03-29,Online transfer fee,City Freight,2602,0,-21394127,Bank,Bank Charges
2024-03-29,Purchase IBC small tanks,TCS Courier,596896,0,-12835162,Cash,Purchases - IBC Tanks
2024-03-29,Paint and coating drums,Regular Client,22228,0,-16705912,Cash,Refurbishing Costs
2024-03-29,Shop rent,Walk-in Customer,32658,0,7237560,Cash,Rent
2024-03-30,purchase steel drums,TCS Courier,431024,0,-7712908,Bank,Purchases - Steel Drums
2024-03-30,Sandblasqting cost,Walk-in Customer,65044,0,-23671368,Cash,Refurbishing Costs
2024-03-30,Invoice plastic drums,Al-Baraka Bank,0,103847,-22193139,Bank,Sales - Plastic Drums
2024-03-30,sold reconditioned drums,Al-Baraka Bank,0,89069,-9779335,Bank,Sales - Refurbished Drums
2024-03-30,Stationery purchhase,Regulark Client,3546,0,-22212416,Cash,Office Supplies
2024-03-30,Plastic drums received,Al-Baraka Bank,62349,0,5116438,Cash,Purchases - Plastic Drums
2024-03-30,qPlastic drums delivered,Bank Al Falaph,0,130856,-5795158,Bank,Sales - Plastic Drums
2024-03-30,Transport expense,Meezan Banqk,48397,0,4990773,Bank,Freight & Conveyance
2024-03-30,Cheque book charges,tcs courier,3782,0,396914,Bank,Bank Charges
2024-03-30,Bought steel drums HTG Petro,HTG Petro,703629,0,-18295490,Cash,Purchases - Steel Drums
2024-03-30,IBC tanks dispatched,TCS Courier,0,332201,-7734291,Bank,Sales - IBC Tanks
2024-03-30,Bought IBC tanks HTG Petro,Walk-in Customer,228211,0,-19085709,Bank,Purchases - IBC Tanks
2024-03-30,Plastic drums delivered,HTG Petro,0,101375,-20623428,Bank,Sales - Plastic Drums
2024-03-30,Bought IBC tanks HTG Petro,m ehtisham,85839,0,-12235863,Cash,Purchases - IBC Tanks
2024-03-30,Plastic drum sale,metro traders,0,146973,-22214439,Bank,Sales - Plastic Drums
2024-03-30,Purchase plastic drums,TCS Courier,198705,0,-6231556,Cash,Purchases - Plastic Drums
2024-03-30,IBC tanks received bill,eCity Freight,314226,0,-19695835,Cash,Purchases - IBC Tanks
2024-03-31,Godown rent,Al-Baraka Bank,74997,0,120287,Bank,Rent
2024-03-31,notebook order,Metro Traders,10296,0,-20964223,Cash,Office Supplies
2024-03-31,IBC small tank invoice,Bank Al Falah,0,113532,-18927936,Cash,Sales - IBC Tanks
2024-03-31,Plastic drums received,Banlk Al Falah,82589,0,-3514726,Bank,Purchases - Plastic Drums
2024-03-31,Reconditioned barrel sale,Meezan Bank,0,141783,-3712902,Cash,Sales - Refurbished Drums
2024-03-31,Sotld plastic drums,Meezan zBank,0,39860,5225178,Cash,Sales - Plastic Drums
2024-03-31,Phone bill,Pakistan Drums Co,6528,0,-11675106,Bank,Utilities
2024-03-31,Transport expense,Regular Client,14887,0,-4053215,Bank,Freight & Conveyance
2024-03-31,Drum refurbishing labour,Walk-in Cdustomer,62566,0,-18316009,Bank,Refurbishing Costs
2024-03-31,Reconditioning expense,M Ehtisham,51039,0,-624549,Bank,Refurbishing Costs
2024-03-31,Bank commission,Pakistan Drums Co,3123,0,2219854,Cash,Bank Charges
2024-03-31,Drum refurbishing labour,Regular Client,45195,0,-418970,Cash,Refurbishing Costs
2024-03-31,Steel drums received,city freight,494936,0,-21007218,Bank,Purchases - Steel Drums
2024-03-31,Phone bill,Metro Traders,2478,0,-23728259,Cash,Utilities
2024-03-31,bought plastic drums,Bank Al Falah,128131,0,-14703642,Cash,Purchases - Plastic Drums
2024-03-31,Godown rent,Pakistan Drums Co,33996,0,8658338,Bank,Rent
2024-04-01,Sundry charges,HTG Petro,3821,0,-20422895,Bank,Miscellaneous
2024-04-01,IBC tank procurement,Pakistan Drums Co,553271,0,-14477581,Bank,Purchases - IBC Tanks
2024-04-01,Reconditioned barrel sale,Punjab Chemicals,0,148988,-2847683,Bank,Sales - Refurbished Drums
2024-04-01,Miscellaneous expense,Walk-in Customer,9048,0,-18515683,Bank,Miscellaneous
2024-04-01,Steel drum sale,Punjab Chemicals,0,322499,-20948271,Cash,Sales - Steel Drums
2024-04-01,Sold steel drums,Metro Traders,0,777367,-25765896,Cash,Sales - Steel Drums
2024-04-01,Bank service charges,HTG Petro,2790,0,-18774212,Bank,Bank Charges
2024-04-01,Cheque book charges,Al-Baraka Bank,4916,0,-22621945,Bank,Bank Charges
2024-04-01,Steel drum procurement,Punjakb Chemicals,270774,0,-22239148,Bank,Purchases - Steel Drums
2024-04-01,papero stock,Metro Traders,10754,0,4341298,Bank,Office Supplies
2024-04-01,online transfer fee,Meezan Bank,1440,0,-14082505,Cash,Bank Charges
2024-04-01,Storage rent paid,Meezan Bank,66017,0,-17015737,Bank,Rent
2024-04-01,Plastic drums received,Metro Traders,62557,0,-2654814,Bank,Purchases - Plastic Drums
2024-04-02,IBC tank sale,TCS Courier,0,776787,-22602097,Bank,Sales - IBC Tanks
2024-04-02,Drums conveyance,HTG Petro,40209,0,-19212924,Bank,Freight & Conveyance
2024-04-02,Purchase steel driums,Regular Client,134678,0,-20815372,Cash,Purchases - Steel Drums
2024-04-02,Bank commission,Pakistan Drums Co,4956,0,470839,Bank,Bank Charges
2024-04-02,Internet bill,metro traders,5362,0,-11649017,Bank,Utilities
2024-04-02,Refurbished steel drums invoice,m zehtisham,0,102674,-10471527,Bank,Sales - Refurbished Drums
2024-04-02,Transport expense,Local Supplier,53575,0,-420229,Cash,Freight & Conveyance
2024-04-02,Internet bill,Walk-in Customer,9603,0,-10927389,Bank,Utilities
2024-04-02,Paper stock,Walk-in Customer,12454,0,-17551272,Cash,Office Supplies
2024-04-02,Paint and coating drums,Local Supplier,65325,0,-13600807,Bank,Refurbishing Costs
2024-04-02,office rent,Walkw-in Customer,47729,0,-24218797,Bank,Rent
2024-04-02,Plastic drums received,Walk-in Customer,154968,0,7203697,Bank,Purchases - Plastic Drums
2024-04-02,Bank commission,Meezan Bank,3695,0,-22523489,Bank,Bank Charges
2024-04-03,Drums conveyance,m ehtisham,42097,0,-21044128,Cash,Freight & Conveyance
2024-04-03,Office furniture,pakistan drums co,6662,0,-22232136,Bank,Office Supplies
2024-04-03,Sold steel drums,Al-Baraka Bank,0,429046,-447156,Cash,Sales - Steel Drums
2024-04-03,Invoice steel drums,Walk-in Customer,0,616767,-18941549,Cash,Sales - Steel Drums
2024-04-03,Bought plastic dzrums,Metro Traders,99151,0,1696915,Cash,Purchases - Plastic Drums
2024-04-03,Petty cash expense,Habib Bank,6506,0,-6578305,Cash,Miscellaneous
2024-04-03,Bank commission,Meezan Bank,2064,0,-22988936,Bank,Bank Charges
2024-04-03,IBC tank procureqment,Walk-in Customer,573379,0,7534108,Bank,Purchases - IBC Tanks
2024-04-03,Freight chargtes,Local Supplier,44777,0,-19927196,Bank,Freight & Conveyance
2024-04-03,Refurbished steel drums invoice,Bank Al Falah,0,99843,-18202862,Cash,Sales - Refurbished Drums
2024-04-03,Purchase plastic drums,Metro Traders,174137,0,-19185245,Bank,Purchases - Plastic Drums
2024-04-03,Drum repair materials,Habib Bank,70813,0,-3631844,Cash,Refurbishing Costs
2024-04-03,Cheque book charges,TCS Courier,4076,0,-19749708,Bank,Bank Charges
